"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"Carlet, Valencia","Valencia","9049026","Carlet","Carlet,Valencian Community,Spain","City"
"Carmona, Sevilla","Sevilla","9049027","Carmona","Carmona,Andalusia,Spain","City"
"Cartagena, Murcia","Murcia","9215883","Municipality of Cartagena","Municipality of Cartagena,Region of Murcia,Spain","Municipality"
"Cartaya, Huelva","Huelva","1005409","Cartaya","Cartaya,Andalusia,Spain","City"
"Cartelle, Ourense","Ourense","9208754","Cartelle","Cartelle,Galicia,Spain","Municipality"
"Casariche, Sevilla","Sevilla","9049028","Casariche","Casariche,Andalusia,Spain","City"
"Casasimarro, Cuenca","Cuenca","9049029","Casasimarro","Casasimarro,Castile-La Mancha,Spain","City"
"Cassà de la Selva, Girona","Girona","9233141","Cassa de la Selva","Cassa de la Selva,Catalonia,Spain","Municipality"
"Castalla, Alicante","Alicante","9049030","Castalla","Castalla,Valencian Community,Spain","City"
"Castell-Platja d'Aro, Girona","Girona","9246276","Castell-Platja d'Aro","Castell-Platja d'Aro,Catalonia,Spain","Municipality"
"Castellar del Vallès, Barcelona","Barcelona","9196033","Castellar del Valles","Castellar del Valles,Catalonia,Spain","City"
"Castellbisbal, Barcelona","Barcelona","9255067","Castellbisbal","Castellbisbal,Catalonia,Spain","Municipality"
"Castelldefels, Barcelona","Barcelona","9196696","Castelldefels","Castelldefels,Catalonia,Spain","City"
"Castellvell del Camp, Tarragona","Tarragona","9208515","Castellvell del Camp","Castellvell del Camp,Catalonia,Spain","Municipality"
"Castellón de la Plana, Castellón","Castellón","1005539","Castello de la Plana","Castello de la Plana,Valencian Community,Spain","City"
"Castrillón, Asturias","Asturias","9255748","Castrillon","Castrillon,Asturias,Spain","Municipality"
"Castro-Urdiales, Cantabria","Cantabria","9049031","Castro Urdiales","Castro Urdiales,Cantabria,Spain","City"
"Castroverde, Lugo","Lugo","9211068","Castroverde","Castroverde,Galicia,Spain","Municipality"
"Catarroja, Valencia","Valencia","9207786","Catarroja","Catarroja,Valencian Community,Spain","Municipality"
"Catral, Alicante","Alicante","9261382","Catral","Catral,Valencian Community,Spain","Municipality"
"Caudete, Albacete","Albacete","9223774","Caudete","Caudete,Castile-La Mancha,Spain","Municipality"
"Cazorla, Jaén","Jaén","9049033","Cazorla","Cazorla,Andalusia,Spain","City"
"Cebanico, León","León","9209134","Cebanico","Cebanico,Castile and Leon,Spain","Municipality"
"Cehegín, Murcia","Murcia","9049034","Cehegin","Cehegin,Region of Murcia,Spain","City"
"Celrà, Girona","Girona","9257672","Celra","Celra,Catalonia,Spain","City"
"Cercedilla, Madrid","Madrid","9231888","Cercedilla","Cercedilla,Community of Madrid,Spain","City"
"Cerdanyola del Vallès, Barcelona","Barcelona","9195687","Cerdanyola del Valles","Cerdanyola del Valles,Catalonia,Spain","City"
